Cliente_Id;Sexo;Estrato;Segmento;Rango de ingresos;Nivel de estudio;Estado civil;Departamento;Edad;Hijos  ;Franquicia;Canal: Presente/No presente;Origen: Nacional /Internacional;Monto transado;Reclamos realizados;cnt_trx_201706;cnt_trx_201707;cnt_trx_201708;cnt_trx_201709;cnt_trx_201710;cnt_trx_201711;cnt_trx_201712;cnt_trx_201801;cnt_trx_201802;cnt_trx_201803;cnt_trx_201804;cnt_trx_201805;cnt_trx_201806;cnt_trx_201807;cnt_trx_201808;cnt_trx_201809;cnt_trx_201810;cnt_trx_201811;cnt_trx_201812;cnt_trx_201901;cnt_trx_201902;cnt_trx_201903;cnt_trx_201904;cnt_trx_201905;cnt_trx_201906
44121294;-1;-1;-1; 3,000,000 ;-1;-1;-1;-1 ;?;1;P;Nacional;2,018,021; 14 ;9;10;18;12;6;8;17;28;16;28;12;14;15;16;6;7;10;9;13;25;8;15;23;16;31
33436736;-1;-1;-1; 21,000,000 ;-1;-1;-1; 27 ;?;1;P;Nacional;41,030,326; 8 ;20;32;31;22;27;27;23;19;28;39;35;35;41;39;26;29;3;;;;;;;;
22752178;-1;-1;-1; 22,500,000 ;-1;-1;-1;-1 ;?;1;P;Nacional;6,220,667; 8 ;2;3;3;;;;5;;;1;;;;3;2;;4;;;;;;;;1
12067620;M;4;2; 22,500,000 ;-1;-1;-1; 55 ;0;1;Ninguno;Ninguno;0; 6 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1383062;M;-1;-1; 3,600,000 ;-1;-1;-1;-1 ;0;1;P;Nacional;6,783,348; 6 ;3;6;1;2;7;9;5;2;7;2;6;8;8;10;13;11;10;7;5;6;10;6;7;11;4
28928793;M;-1;-1; 5,400,000 ;-1;-1;-1; 61 ;?;1;P;Nacional;1,400,058; 5 ;2;10;2;2;3;6;5;;3;5;1;2;1;2;;;;;;;;;;;
18244235;F;-1;-1; 40,500,000 ;-1;-1;-1; 65 ;?;1;P;Nacional;63,543,143; 5 ;1;1;1;2;1;1;;2;1;1;;2;;1;;2;;2;2;;;1;2;1;
45789966;-1;-1;-1; 6,900,000 ;-1;-1;-1;-1 ;?;1;P;Nacional;6,790,651; 5 ;2;3;2;3;1;;2;1;4;3;3;;;;;1;;;;;;;;;
7559677;F;-1;-1; 21,000,000 ;-1;C;-1; 70 ;0;1;P;Nacional;6,882,786; 5 ;15;8;3;2;;1;3;3;2;2;;4;2;3;1;1;12;5;4;5;6;5;3;11;3
35105408;M;-1;-1; 33,000,000 ;-1;-1;-1; 24 ;?;1;P;Nacional;11,647,706; 5 ;5;7;5;2;4;34;22;16;16;6;14;14;10;2;8;8;2;3;7;8;1;5;13;2;1
24420850;-1;-1;-1; 3,600,000 ;-1;-1;-1;-1 ;?;1;P;Nacional;10,833,010; 4 ;5;3;3;1;2;12;5;12;9;12;6;5;2;1;1;6;10;6;2;3;6;1;1;4;4
3051734;M;-1;-1; 6,000,000 ;-1;-1;-1;-1 ;?;1;P;Nacional;7,056,186; 4 ;15;8;3;1;21;4;10;6;1;7;7;14;15;1;5;3;;;;;;;;;
30597465;F;-1;-1; 9,000,000 ;-1;-1;-1; 25 ;?;1;P;Nacional;6,082,637; 4 ;1;7;1;2;8;4;25;2;1;5;19;13;9;14;6;6;13;21;14;22;6;20;14;36;23
19912907;M;-1;-1; 22,500,000 ;-1;-1;-1; 34 ;?;1;P;Nacional;16,558,914; 4 ;6;3;3;12;7;1;2;16;7;1;1;1;4;2;1;2;;;;;;;;;
