"","Cliente_Id","Sexo","Estrato","Grupo_valor","Rango_ingresos_acum","Nivel_estudio","Estado_civil","Departamento","Edad","Hijos","Franquicia","canal","origen","Monto_transado","Reclamos","cnt_trx_201706","cnt_trx_201707","cnt_trx_201708","cnt_trx_201709","cnt_trx_201710","cnt_trx_201711","cnt_trx_201712","cnt_trx_201801","cnt_trx_201802","cnt_trx_201803","cnt_trx_201804","cnt_trx_201805","cnt_trx_201806","cnt_trx_201807","cnt_trx_201808","cnt_trx_201809","cnt_trx_201810","cnt_trx_201811","cnt_trx_201812","cnt_trx_201901","cnt_trx_201902","cnt_trx_201903","cnt_trx_201904","cnt_trx_201905","cnt_trx_201906","Total_trx","Grupo_cluster"
"1",13868758,"M",6,"Alto",49500000,"Especializacion","CASADO","ANTIOQUIA",60,"0","VISA","P","Internacional",1366024,3,1,2,10,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1
"2",1258243,"M",5,"Alto",37500000,"Especializacion","CASADO","BOGOTA D.C.",60,"2","VISA","I","Nacional",36394431,2,7,2,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1
"3",3921532,"M",6,"Alto",34500000,"Maestria","CASADO","BOGOTA D.C.",60,"0","AMEX","I","Nacional",21678225,2,8,29,11,4,17,11,7,15,16,10,22,9,15,7,13,7,15,12,33,5,7,3,4,31,15,326,1
"4",13908196,"F",4,"Alto",26400000,"Especializacion","CASADO","ANTIOQUIA",60,"0","VISA","P","Internacional",17894707,3,3,14,20,18,11,17,10,22,1,21,11,2,5,3,4,30,19,14,5,0,0,0,0,0,1,231,1
"5",12150269,"F",4,"Alto",24000000,"Especializacion","CASADO","VALLE DEL CAUCA",60,"0","MASTER","P","Nacional",7485496,3,1,8,12,3,11,15,5,3,9,3,2,3,2,1,10,7,14,3,12,22,8,17,11,15,2,199,1
"6",8037032,"F",5,"Alto",24000000,"Especializacion","SOLTERO","BOGOTA D.C.",60,"0","VISA","P","Nacional",8358400,2,4,8,1,2,1,4,13,19,7,6,15,2,0,1,0,0,5,7,1,14,7,17,3,20,18,175,1
"7",8666980,"F",6,"Alto",22500000,"Maestria","CASADO","BOGOTA D.C.",60,"0","AMEX","I","Nacional",25977184,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,12,16,0,0,0,0,0,0,50,1
"8",4024491,"F",6,"Alto",22500000,"Especializacion","SOLTERO","ANTIOQUIA",60,"0","VISA","P","Nacional",10679737,3,1,26,13,8,0,0,2,0,0,0,0,7,15,10,16,15,14,0,0,1,7,0,0,7,15,157,1
"9",7251637,"M",5,"Alto",21000000,"Especializacion","CASADO","ANTIOQUIA",60,"0","MASTER","P","Nacional",18770230,3,4,8,9,12,6,3,4,4,0,14,5,19,9,7,16,15,14,18,5,3,10,6,2,2,9,204,1
"10",8833317,"M",5,"Alto",21000000,"Pregrado","SOLTERO","BOGOTA D.C.",60,"0","AMEX","I","Nacional",63106299,2,1,6,3,5,0,0,0,1,4,3,2,6,0,22,13,7,10,1,5,0,1,6,0,0,0,96,3
"11",13852608,"M",5,"Alto",18000000,"Especializacion","SOLTERO","ANTIOQUIA",60,"0","VISA","P","Internacional",2501556,3,33,26,26,33,27,34,37,22,12,17,15,23,3,14,36,42,70,56,35,17,31,22,18,23,14,686,2
"12",13303963,"F",5,"Alto",12000000,"Especializacion","SOLTERO","ANTIOQUIA",60,"0","VISA","P","Internacional",7205583,3,1,1,1,1,0,6,2,1,1,1,3,0,2,0,1,2,7,0,0,0,0,0,0,0,0,30,2
"13",14337406,"M",4,"Alto",12000000,"Maestria","SOLTERO","BOGOTA D.C.",60,"0","AMEX","I","Nacional",9159006,2,2,7,8,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2
"14",11497584,"M",4,"Alto",9000000,"Especializacion","CASADO","ANTIOQUIA",60,"0","VISA","P","Internacional",2130667,3,1,6,8,4,8,1,11,4,2,2,3,0,3,7,2,1,6,4,1,4,10,1,2,2,8,101,2
"15",8772467,"F",5,"Alto",7500000,"Especializacion","CASADO","ANTIOQUIA",60,"0","VISA","P","Internacional",700221,3,2,4,4,3,4,14,5,6,10,9,8,13,7,6,8,10,15,4,3,1,6,3,1,5,7,158,2
"16",6691103,"M",6,"Alto",7500000,"Maestria","SOLTERO","BOGOTA D.C.",60,"0","AMEX","I","Nacional",818643,2,6,11,3,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27,2
"17",14654113,"M",4,"Alto",7500000,"Especializacion","CASADO","ANTIOQUIA",60,"0","VISA","P","Nacional",29919002,3,3,2,7,1,0,0,1,1,1,1,0,0,3,3,2,1,0,0,0,2,0,0,0,3,0,31,2
"18",39049902,"M",5,"Alto",6000000,"Maestria","CASADO","BOGOTA D.C.",60,"5","AMEX","I","Nacional",5931105,2,20,22,32,12,27,15,6,26,30,20,42,2,0,0,0,0,0,0,0,0,0,0,0,0,0,254,2
"19",6753747,"M",6,"Alto",5850000,"Maestria","CASADO","BOGOTA D.C.",60,"0","AMEX","I","Nacional",4588413,2,2,2,2,2,2,1,0,0,1,1,2,2,1,1,1,2,1,0,1,0,1,3,0,2,1,31,2
"20",2993128,"F",6,"Alto",5100000,"Especializacion","CASADO","ANTIOQUIA",60,"0","VISA","P","Nacional",19151072,3,4,3,1,1,1,3,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2
"21",3570872,"F",6,"Alto",4500000,"Especializacion","SOLTERO","BOGOTA D.C.",60,"0","VISA","I","Nacional",13616846,2,13,41,36,36,38,43,27,44,60,55,38,23,40,35,16,34,47,48,49,5,1,0,12,0,2,743,2
"22",1465711,"M",4,"Medio",3000000,"Especializacion","CASADO","VALLE DEL CAUCA",60,"0","VISA","P","Nacional",197863,3,7,8,6,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,2
"23",603560,"F",4,"Medio",3000000,"tecnico","CASADO","ANTIOQUIA",60,"0","VISA","P","Internacional",2854777,3,4,49,40,16,11,2,0,0,7,1,45,51,7,2,0,10,30,25,8,1,1,0,0,0,0,310,2
"24",8477498,"F",4,"Medio",2700000,"tecnico","SOLTERO","ANTIOQUIA",60,"0","VISA","P","Nacional",5117679,3,4,2,3,0,1,1,4,0,2,0,1,2,0,1,1,0,0,2,0,1,1,1,0,3,0,30,2
"25",3935419,"M",4,"Alto",90000000,"Especializacion","CASADO","CALDAS",59,"0","VISA","P","Internacional",57728132,3,2,2,3,1,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,15,3
"26",7472685,"F",5,"Alto",31500000,"Especializacion","CASADO","ANTIOQUIA",59,"0","VISA","P","Nacional",88171387,3,1,7,7,1,14,9,7,5,8,8,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,83,3
"27",6822570,"F",5,"Alto",30000000,"Pregrado","CASADO","BOGOTA D.C.",59,"0","AMEX","I","Nacional",22392014,2,1,4,3,3,2,3,3,3,1,1,2,1,2,2,5,2,1,11,2,2,1,1,4,22,8,90,1
"28",11362447,"F",4,"Alto",27000000,"Especializacion","CASADO","VALLE DEL CAUCA",59,"0","MASTER","P","Nacional",55574608,3,2,1,1,0,0,1,0,1,5,0,3,2,3,2,1,0,2,3,0,2,0,3,1,3,1,37,3
"29",6492119,"F",5,"Alto",27000000,"Maestria","CASADO","BOGOTA D.C.",59,"0","AMEX","I","Nacional",22586475,2,22,33,22,27,21,27,20,22,33,19,0,8,3,8,25,20,19,28,21,7,0,0,0,0,0,385,1
"30",7906585,"M",6,"Alto",25500000,"Especializacion","SOLTERO","ANTIOQUIA",59,"0","VISA","P","Internacional",13636958,3,6,2,2,4,3,1,2,4,3,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,35,1
"31",4085524,"M",5,"Alto",21000000,"Especializacion","CASADO","VALLE DEL CAUCA",59,"0","MASTER","I","Nacional",1148087,3,1,8,8,9,8,10,10,8,6,6,4,12,3,3,2,0,0,0,0,0,0,0,0,0,0,98,2
"32",14352761,"F",5,"Alto",19500000,"Especializacion","CASADO","ANTIOQUIA",59,"0","MASTER","P","Nacional",24552186,3,3,17,16,19,8,16,24,17,8,12,19,13,18,10,10,17,15,17,7,8,20,6,6,12,10,328,1
