Cliente_Id;Sexo;Estrato;Grupo_valor;Rango_ingresos_acum;Nivel_estudio;Estado_civil;Departamento;Edad;Franquicia;canal;origen;Monto_transado;Reclamos;cnt_trx_201706;cnt_trx_201707;cnt_trx_201708;cnt_trx_201709;cnt_trx_201710;cnt_trx_201711;cnt_trx_201712;cnt_trx_201801;cnt_trx_201802;cnt_trx_201803;cnt_trx_201804;cnt_trx_201805;cnt_trx_201806;cnt_trx_201807;cnt_trx_201808;cnt_trx_201809;cnt_trx_201810;cnt_trx_201811;cnt_trx_201812;cnt_trx_201901;cnt_trx_201902;cnt_trx_201903;cnt_trx_201904;cnt_trx_201905;cnt_trx_201906;Total_trx;Recency;Outliers;Mahal Distance
8751606;F;6;Alto;84000000;Pregrado;CASADO;BOGOTA D.C.;52;VISA;I;Nacional;26557097;2;7;4;5;6;13;5;7;8;7;4;4;7;10;8;8;8;6;5;5;8;4;3;2;3;3;150;0;0;0.816140055
34016703;F;4;Alto;75000000;Especializacion;SOLTERO;ANTIOQUIA;31;VISA;P;Internacional;13891680;3;2;3;3;4;3;1;1;1;1;1;0;2;1;0;4;0;0;3;0;3;3;3;2;2;0;43;1;0;11.912.339.010.917.400
14303657;F;4;Alto;69000000;Especializacion;SOLTERO;BOGOTA D.C.;46;VISA;P;Nacional;12120542;2;3;2;2;4;2;6;4;0;2;5;4;6;6;4;2;1;3;2;1;2;5;0;0;0;0;66;4;0;0.480777346
25568447;F;4;Alto;66000000;Especializacion;SOLTERO;ANTIOQUIA;31;VISA;P;Internacional;42461683;3;1;22;40;32;16;21;26;12;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;175;16;0;1.886.263.802.957.900
22376987;F;4;Alto;64500000;Especializacion;CASADO;BOGOTA D.C.;43;VISA;P;Nacional;32196214;2;1;1;1;2;2;1;0;1;2;2;3;1;1;0;1;2;2;1;1;3;4;0;3;3;3;41;0;0;11.562.337.962.162.000
15822958;M;4;Alto;63000000;Maestria;CASADO;BOGOTA D.C.;44;VISA;P;Nacional;19714097;2;8;24;17;30;29;26;24;27;24;26;19;10;57;74;44;0;6;0;13;0;0;0;0;0;0;458;6;0;1.334.529.586.269.320
21684620;M;5;Alto;61500000;Maestria;CASADO;BOGOTA D.C.;60;AMEX;I;Nacional;17903949;2;1;3;1;4;3;1;14;1;3;2;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;38;12;0;12.221.128.145.126.800
35582763;M;5;Alto;60000000;Especializacion;SOLTERO;BOGOTA D.C.;63;VISA;P;Nacional;11717308;2;2;2;1;1;0;0;6;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;14;8;0;1.463.316.207.739.910
39437695;M;4;Alto;60000000;Especializacion;CASADO;BOGOTA D.C.;60;VISA;P;Nacional;28142312;2;2;1;1;4;2;1;1;2;5;24;8;6;8;1;1;1;6;5;5;5;2;2;17;19;1;130;0;0;1.310.675.450.475.790
1096148;M;6;Alto;60000000;Especializacion;CASADO;CUNDINAMARCA;54;VISA;P;Internacional;1302793;3;1;5;2;2;1;1;2;6;1;3;41;20;0;0;0;0;0;0;0;0;0;0;0;0;0;85;13;0;1.062.722.373.061.000
49002491;M;5;Alto;60000000;Especializacion;CASADO;BOGOTA D.C.;50;VISA;I;Nacional;20681874;2;12;20;6;0;0;2;2;1;1;2;11;14;19;20;31;32;18;14;14;18;24;27;15;46;15;364;0;0;0.989468461
37293218;M;6;Alto;60000000;Especializacion;SOLTERO;BOGOTA D.C.;46;VISA;I;Nacional;36032310;2;7;21;5;3;0;0;2;0;0;5;3;3;0;3;1;0;2;0;0;1;2;0;2;0;3;63;0;0;1.298.256.435.614.580
5712331;F;4;Alto;60000000;Especializacion;SOLTERO;BOGOTA D.C.;43;VISA;P;Nacional;8229282;2;6;15;12;8;17;14;26;36;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;175;16;0;0.437237866
14213647;F;4;Alto;60000000;Especializacion;CASADO;BOGOTA D.C.;42;VISA;P;Nacional;31042756;2;3;7;3;3;8;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;27;10;0;11.482.974.690.355.600
8876425;M;5;Alto;60000000;Especializacion;CASADO;BOGOTA D.C.;42;VISA;I;Nacional;39089609;2;2;2;2;2;2;1;3;4;4;0;4;1;0;0;0;1;0;0;2;3;2;0;1;6;1;43;0;0;15.156.755.855.629.200
5022431;M;4;Alto;58800000;Maestria;CASADO;BOGOTA D.C.;70;AMEX;I;Nacional;39048598;2;2;1;1;0;0;1;0;0;1;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;10;8;0;2.378.142.190.754.160
21553561;M;4;Alto;58500000;Especializacion;SOLTERO;ANTIOQUIA;47;VISA;P;Internacional;36105652;3;2;3;1;3;5;1;1;1;1;2;2;1;1;2;1;2;6;1;1;2;2;1;1;4;5;52;0;0;13.263.848.967.852.400
3616611;M;4;Alto;58500000;Pregrado;SOLTERO;BOGOTA D.C.;46;VISA;I;Nacional;1951716;2;1;10;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;17;10;0;0.997253129
1233426;M;5;Alto;58500000;Maestria;SOLTERO;BOGOTA D.C.;27;VISA;P;Nacional;11420779;2;2;1;2;3;1;5;2;0;4;1;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;27;9;0;14.958.526.093.690.500
29724201;M;6;Alto;57000000;Especializacion;SOLTERO;BOGOTA D.C.;63;VISA;P;Nacional;30666143;2;25;14;15;18;18;20;44;23;14;16;18;10;7;4;4;1;7;7;4;2;4;0;0;2;1;278;0;0;16.275.956.558.500.800
14910521;M;5;Alto;57000000;Especializacion;SOLTERO;BOGOTA D.C.;54;VISA;P;Nacional;2051146;2;5;5;8;18;5;13;10;13;14;3;19;11;17;2;10;12;12;22;20;13;6;23;15;14;11;301;0;0;1.151.582.630.269.100
9408369;M;4;Alto;57000000;Pregrado;SOLTERO;BOGOTA D.C.;49;VISA;I;Nacional;12667905;2;5;3;6;4;2;2;2;9;4;3;5;2;3;3;2;5;3;3;1;7;5;2;5;5;11;102;0;0;0.409860886
27904343;F;6;Alto;57000000;Especializacion;SOLTERO;BOGOTA D.C.;34;VISA;I;Nacional;11123409;2;2;20;18;22;8;15;24;14;11;16;32;14;36;18;21;19;26;31;28;24;11;3;4;4;8;429;0;0;14.749.321.298.095.600
7770367;M;4;Alto;55500000;Especializacion;SOLTERO;ANTIOQUIA;67;VISA;P;Internacional;2403160;3;2;6;5;4;9;8;8;0;0;3;12;6;10;16;2;0;0;0;0;0;0;0;0;0;0;91;10;0;17.580.799.792.058.600
21313568;F;5;Alto;55500000;Pregrado;CASADO;BOGOTA D.C.;54;VISA;I;Nacional;40231111;2;5;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;3;2;24;0;0;17.112.722.215.674.200
43959199;F;6;Alto;55500000;Maestria;CASADO;VALLE DEL CAUCA;44;AMEX;I;Nacional;19641956;2;10;4;1;1;1;1;4;2;3;2;2;2;2;26;25;5;12;2;2;2;10;11;17;15;7;169;0;0;0.2809386
28615573;M;5;Alto;55500000;Especializacion;CASADO;ANTIOQUIA;35;VISA;P;Internacional;34644420;3;5;7;9;6;6;4;4;6;9;6;3;6;10;5;4;2;2;1;3;8;5;17;1;4;7;140;0;0;13.605.714.001.808.600
15995066;M;4;Alto;55500000;Maestria;SOLTERO;BOGOTA D.C.;27;AMEX;I;Nacional;6435411;2;13;14;3;8;9;14;14;9;11;13;6;4;11;5;8;4;7;4;15;7;7;0;0;0;0;186;4;0;14.421.014.596.943.200
48977674;M;6;Alto;55500000;Maestria;SOLTERO;BOGOTA D.C.;26;VISA;P;Nacional;48680887;2;12;24;38;18;1;3;0;0;9;3;7;15;5;7;0;0;0;0;0;0;0;0;0;0;0;142;11;0;23.915.646.489.123.200
2699810;M;4;Alto;54000000;Especializacion;SOLTERO;BOGOTA D.C.;70;VISA;I;Nacional;13175494;2;5;5;3;3;4;6;5;6;4;13;9;11;11;10;6;5;12;7;4;1;5;2;1;0;0;138;2;0;1.795.182.801.278.060
745835;M;5;Alto;54000000;Maestria;CASADO;VALLE DEL CAUCA;69;AMEX;I;Nacional;25888931;2;3;5;17;18;3;2;18;11;10;12;3;14;0;2;0;0;0;2;8;0;0;0;0;1;0;129;1;0;18.341.901.178.780.400
27007465;F;5;Alto;54000000;Pregrado;CASADO;BOGOTA D.C.;67;VISA;I;Nacional;13993237;2;2;2;2;1;1;4;0;1;2;1;1;4;1;1;2;0;0;1;1;2;0;3;2;3;3;40;0;0;16.723.902.037.827.800
1136524;F;4;Alto;54000000;Maestria;CASADO;BOGOTA D.C.;64;AMEX;I;Nacional;34477335;2;2;4;2;1;2;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;14;13;0;1.893.909.065.757.770
42566797;F;4;Alto;54000000;Maestria;CASADO;VALLE DEL CAUCA;53;AMEX;I;Nacional;7469511;2;3;1;4;1;3;3;0;0;0;0;0;0;8;0;0;0;0;5;0;0;0;0;0;0;0;28;7;0;0.93164435
25412775;F;6;Alto;54000000;Especializacion;CASADO;BOGOTA D.C.;51;VISA;P;Nacional;26623654;2;1;1;1;5;14;4;5;1;3;7;3;6;4;4;5;4;6;2;5;5;8;1;6;13;7;121;0;0;0.805393238
4553417;M;6;Alto;54000000;Especializacion;CASADO;ANTIOQUIA;50;VISA;P;Nacional;45573608;3;8;23;3;14;16;11;16;9;33;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;136;6;0;17.860.733.139.939.600
42070865;F;6;Alto;54000000;Especializacion;CASADO;ANTIOQUIA;48;MASTER;P;Nacional;27356246;3;6;29;9;6;8;14;10;39;3;5;12;2;4;3;4;8;1;2;0;0;6;5;11;2;3;192;0;0;0.731368684
