Cliente_Id;Sexo;Estrato;Grupo_valor;Rango_ingresos_acum;Nivel_estudio;Estado_civil;Departamento;Edad;Franquicia;canal;origen;Monto_transado;Reclamos;cnt_trx_201706;cnt_trx_201707;cnt_trx_201708;cnt_trx_201709;cnt_trx_201710;cnt_trx_201711;cnt_trx_201712;cnt_trx_201801;cnt_trx_201802;cnt_trx_201803;cnt_trx_201804;cnt_trx_201805;cnt_trx_201806;cnt_trx_201807;cnt_trx_201808;cnt_trx_201809;cnt_trx_201810;cnt_trx_201811;cnt_trx_201812;cnt_trx_201901;cnt_trx_201902;cnt_trx_201903;cnt_trx_201904;cnt_trx_201905;cnt_trx_201906;Total_trx
45653157;F;5;Alto;28500000;Especializacion;VIUDO;VALLE DEL CAUCA;79;MASTER;I;Nacional;10422446;3;7;11;5;2;25;7;13;21;35;22;5;1;6;3;18;20;12;1;0;0;3;0;0;1;0;218
25037319;M;4;Alto;21000000;Especializacion;VIUDO;ANTIOQUIA;77;MASTER;P;Nacional;10906068;3;13;5;17;6;20;14;14;6;11;11;10;22;22;15;6;9;0;0;12;0;0;0;0;0;0;213
48475523;F;4;Medio;3000000;Pregrado;VIUDO;BOGOTA D.C.;77;VISA;I;Nacional;16931232;2;2;1;4;1;4;3;3;1;0;5;4;2;2;3;5;2;2;2;1;2;1;0;4;0;3;57
46339223;F;5;Alto;22500000;Pregrado;VIUDO;BOGOTA D.C.;76;AMEX;I;Nacional;4930860;2;13;11;8;12;2;14;15;13;10;4;2;3;5;6;3;6;16;12;8;2;0;0;0;0;0;165
21539592;F;6;Alto;13500000;Especializacion;VIUDO;ANTIOQUIA;76;VISA;P;Internacional;7762417;3;1;12;3;5;3;16;8;8;5;12;5;4;5;6;7;9;15;0;0;0;0;0;0;0;0;124
22638493;F;5;Alto;9000000;Pregrado;VIUDO;BOGOTA D.C.;76;AMEX;I;Nacional;606659;2;2;7;1;0;2;4;8;7;29;1;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;65
21439876;F;4;Alto;7800000;Maestria;VIUDO;BOGOTA D.C.;76;AMEX;I;Nacional;6872632;2;8;4;16;14;10;1;0;0;0;0;0;0;0;0;3;15;21;9;12;8;11;20;3;3;8;166
184445;M;6;Alto;4800000;Especializacion;VIUDO;ANTIOQUIA;76;VISA;P;Internacional;398983;3;2;7;4;8;2;1;0;2;0;3;2;2;0;0;2;0;0;0;0;0;0;1;1;0;0;37
46707787;F;4;Alto;4500000;Especializacion;VIUDO;ANTIOQUIA;76;VISA;P;Nacional;163854;3;4;8;4;4;3;11;9;9;6;5;6;15;11;15;14;6;17;4;4;0;7;5;1;8;2;178
34929752;M;4;Alto;30000000;Especializacion;VIUDO;BOGOTA D.C.;75;VISA;P;Nacional;4415881;2;4;5;9;13;8;23;23;11;3;7;7;9;17;14;14;15;16;25;4;2;3;1;1;0;0;234
16013786;M;5;Alto;30000000;Especializacion;DIVORCIADO;ANTIOQUIA;75;VISA;P;Internacional;13001037;3;10;15;5;4;7;2;7;3;2;2;2;2;11;1;1;7;3;4;9;0;0;0;9;3;1;110
33193134;M;4;Alto;16500000;Pregrado;VIUDO;BOGOTA D.C.;75;AMEX;I;Nacional;7348251;2;9;1;1;2;2;3;1;1;2;4;1;5;1;7;7;12;21;8;10;8;5;7;8;12;8;146
80874;M;6;Alto;9000000;Especializacion;CASADO;ANTIOQUIA;75;VISA;P;Internacional;7553135;3;6;2;2;1;1;0;13;3;11;2;2;2;3;6;7;0;8;3;1;1;4;0;0;0;2;80
3418218;F;6;Alto;8700000;Especializacion;VIUDO;ANTIOQUIA;75;VISA;P;Internacional;17211233;3;10;15;13;17;17;15;11;14;8;15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;136
15013888;M;6;Alto;15000000;Especializacion;VIUDO;ANTIOQUIA;74;VISA;P;Internacional;9933623;3;12;36;22;2;5;9;8;8;54;35;18;25;5;11;2;11;9;8;9;2;4;7;4;3;19;328
10072861;F;5;Alto;11400000;Pregrado;VIUDO;BOGOTA D.C.;74;AMEX;I;Nacional;14485740;2;22;7;3;25;16;26;3;5;24;1;32;4;7;7;10;11;11;5;0;12;5;15;8;10;7;276
7830931;M;4;Alto;9000000;Especializacion;VIUDO;VALLE DEL CAUCA;74;MASTER;P;Nacional;3598865;3;1;1;1;5;3;4;2;2;6;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;28
14824467;F;5;Alto;28500000;Maestria;VIUDO;BOGOTA D.C.;73;AMEX;I;Nacional;11673532;2;5;21;14;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50
28870187;F;5;Alto;27000000;Especializacion;VIUDO;ANTIOQUIA;73;VISA;P;Nacional;2617792;3;1;4;4;3;0;0;2;1;2;2;9;0;0;0;0;0;0;0;0;2;1;1;1;2;1;36
